Player,Team,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated...13,ASTAdj,AST ToPass%,AST ToPass% Adj,game_date
Jusuf Nurkic,DEN,1,1,0,12.2,16,13,1,0,2,2,1,6.3,6.3,02%2F05%2F2016
Kawhi Leonard,SAS,1,1,0,26.7,29,40,1,0,3,2,1,3.4,3.4,02%2F05%2F2016
Keith Appling,ORL,1,0,1,2.2,1,2,0,0,0,0,0,0,0,02%2F05%2F2016
Kelly Olynyk,BOS,1,1,0,12,17,9,0,0,2,2,1,0,5.9,02%2F05%2F2016
Kelly Oubre Jr.,WAS,1,1,0,1.1,0,1,0,0,0,0,0,0,0,02%2F05%2F2016
Kemba Walker,CHA,1,0,1,36.2,69,83,6,1,10,16,9,8.7,13,02%2F05%2F2016
Kenneth Faried,DEN,1,1,0,26.3,34,23,3,0,3,7,3,8.8,8.8,02%2F05%2F2016
Kent Bazemore,ATL,1,1,0,32.1,39,39,8,0,7,15,7,20.5,17.9,02%2F05%2F2016
Kevin Love,CLE,1,0,1,21.7,42,34,2,0,3,6,3,4.8,7.1,02%2F05%2F2016
Kevin Seraphin,NYK,1,0,1,2.7,5,4,0,0,1,0,0,0,0,02%2F05%2F2016
Khris Middleton,MIL,1,0,1,39.5,30,40,2,0,4,5,2,6.7,6.7,02%2F05%2F2016
Kirk Hinrich,ATL,1,0,1,16.3,18,15,0,0,2,0,0,0,0,02%2F05%2F2016
Kosta Koufos,SAC,1,0,1,12.1,12,7,0,0,2,0,0,0,0,02%2F05%2F2016
Kristaps Porzingis,NYK,1,0,1,38.3,46,42,0,0,2,0,0,0,0,02%2F05%2F2016
Kyle Anderson,SAS,1,1,0,22.8,33,28,2,0,5,5,2,6.1,6.1,02%2F05%2F2016
Kyle Korver,ATL,1,1,0,27.1,29,24,1,0,1,4,2,3.4,6.9,02%2F05%2F2016
Kyle O'Quinn,NYK,1,0,1,9.8,13,14,0,0,2,0,0,0,0,02%2F05%2F2016
Kyrie Irving,CLE,1,0,1,37.5,62,71,6,0,7,14,6,9.7,9.7,02%2F05%2F2016
LaMarcus Aldridge,SAS,1,1,0,27.7,32,26,2,0,3,5,2,6.3,6.3,02%2F05%2F2016
Lance Stephenson,MEM,1,1,0,19.4,23,26,3,0,6,7,3,13,13,02%2F05%2F2016
Langston Galloway,NYK,1,0,1,33.2,49,54,3,0,12,8,3,6.1,6.1,02%2F05%2F2016
Lavoy Allen,IND,1,0,1,30,26,18,2,0,5,6,2,7.7,7.7,02%2F05%2F2016
LeBron James,CLE,1,0,1,38.1,58,81,4,1,12,10,5,6.9,8.6,02%2F05%2F2016
Luc Mbah a Moute,LAC,1,1,0,15.6,7,4,0,0,0,0,0,0,0,02%2F05%2F2016
Luol Deng,MIA,1,1,0,28.1,21,21,0,0,1,0,0,0,0,02%2F05%2F2016
Marc Gasol,MEM,1,1,0,31.5,43,45,1,0,7,3,2,2.3,4.7,02%2F05%2F2016
Marcin Gortat,WAS,1,1,0,34.4,34,37,3,0,5,9,4,8.8,11.8,02%2F05%2F2016
Marco Belinelli,SAC,1,0,1,34.6,23,30,1,0,1,2,1,4.3,4.3,02%2F05%2F2016
Marcus Smart,BOS,1,1,0,21.2,21,28,3,0,4,9,4,14.3,19,02%2F05%2F2016
Mario Chalmers,MIA,1,1,0,16.7,31,31,0,0,5,0,0,0,0,02%2F05%2F2016
Mario Hezonja,ORL,1,0,1,22.3,13,14,0,0,2,0,0,0,0,02%2F05%2F2016
Markel Brown,BKN,1,1,0,5.5,9,11,1,0,3,2,1,11.1,11.1,02%2F05%2F2016
Marvin Williams,CHA,1,0,1,32.4,58,37,2,0,5,6,2,3.4,3.4,02%2F05%2F2016
Matt Barnes,MEM,1,1,0,21.4,25,18,1,0,2,4,2,4,8,02%2F05%2F2016
Matt Bonner,SAS,1,1,0,3.7,6,7,1,0,1,3,1,16.7,16.7,02%2F05%2F2016
Michael Carter-Williams,MIL,1,0,1,28.6,40,45,4,0,7,9,4,10,10,02%2F05%2F2016
Michael Kidd-Gilchrist,CHA,1,0,1,30.4,19,24,1,0,3,3,1,5.3,5.3,02%2F05%2F2016
Mike Conley,MEM,1,1,0,31.4,58,61,9,1,14,21,10,15.5,17.2,02%2F05%2F2016
Mike Muscala,ATL,1,1,0,12.7,23,17,0,0,2,0,0,0,0,02%2F05%2F2016
Mike Scott,ATL,1,1,0,16.1,21,17,2,0,2,5,2,9.5,9.5,02%2F05%2F2016
Miles Plumlee,MIL,1,0,1,14.1,14,12,0,0,2,0,0,0,0,02%2F05%2F2016
Mo Williams,CLE,1,0,1,5.8,10,12,0,0,1,0,0,0,0,02%2F05%2F2016
Monta Ellis,IND,1,0,1,34.6,39,46,1,0,8,5,2,2.6,5.1,02%2F05%2F2016
Myles Turner,IND,1,0,1,23,30,25,0,0,2,0,0,0,0,02%2F05%2F2016
Nerlens Noel,PHI,1,0,1,33.4,45,33,3,0,5,8,3,6.7,6.7,02%2F05%2F2016
Nicolas Batum,CHA,1,0,1,39,64,65,7,0,12,17,7,10.9,10.9,02%2F05%2F2016
Nik Stauskas,PHI,1,0,1,27.8,35,28,2,0,3,4,2,5.7,5.7,02%2F05%2F2016
Nikola Jokic,DEN,1,1,0,25.7,43,29,3,0,4,9,4,7,9.3,02%2F05%2F2016
Nikola Vucevic,ORL,1,0,1,29.3,54,49,4,0,8,9,4,7.4,7.4,02%2F05%2F2016
Omri Casspi,SAC,1,0,1,27.7,36,22,0,1,0,0,1,0,2.8,02%2F05%2F2016
Otto Porter Jr.,WAS,1,1,0,25.3,28,29,1,1,5,3,3,3.6,10.7,02%2F05%2F2016
PJ Hairston,MEM,1,0,1,13.4,5,5,0,0,0,0,0,0,0,02%2F05%2F2016
Pablo Prigioni,LAC,1,1,0,10.6,16,16,2,0,2,5,2,12.5,12.5,02%2F05%2F2016
Patty Mills,SAS,1,1,0,15.4,30,33,0,1,3,0,1,0,3.3,02%2F05%2F2016
Paul George,IND,1,0,1,37.6,39,49,6,1,9,15,8,15.4,20.5,02%2F05%2F2016
Paul Millsap,ATL,1,1,0,33,35,44,0,0,5,0,0,0,0,02%2F05%2F2016
Paul Pierce,LAC,1,1,0,19.8,25,22,1,0,3,2,1,4,4,02%2F05%2F2016
Quincy Acy,SAC,1,0,1,6.1,1,0,0,0,0,0,0,0,0,02%2F05%2F2016
Rajon Rondo,SAC,1,0,1,34.8,64,74,15,0,24,37,16,23.4,25,02%2F05%2F2016
Ramon Sessions,WAS,1,1,0,15,23,28,3,1,5,6,4,13,17.4,02%2F05%2F2016
Randy Foye,OKC,1,1,0,22.5,41,36,6,2,9,17,10,14.6,24.4,02%2F05%2F2016
Rashad Vaughn,MIL,1,0,1,10.5,5,5,0,0,0,0,0,0,0,02%2F05%2F2016
Rasual Butler,SAS,1,1,0,14.9,27,20,0,0,0,0,0,0,0,02%2F05%2F2016
Raul Neto,UTA,1,1,0,33.1,66,71,4,0,8,10,4,6.1,6.1,02%2F05%2F2016
Ray McCallum,SAS,1,1,0,9.2,17,20,2,0,3,5,2,11.8,11.8,02%2F05%2F2016
Raymond Felton,DAL,1,0,1,20.9,24,20,4,0,5,10,4,16.7,16.7,02%2F05%2F2016
Richard Jefferson,CLE,1,0,1,19.3,20,17,2,0,3,4,2,10,10,02%2F05%2F2016
Robert Covington,PHI,1,0,1,18.6,15,11,0,0,2,0,0,0,0,02%2F05%2F2016
Robin Lopez,NYK,1,0,1,30.4,36,18,0,0,4,2,1,0,2.8,02%2F05%2F2016
Rodney Hood,UTA,1,1,0,41.2,63,74,1,1,5,2,2,1.6,3.2,02%2F05%2F2016
Rudy Gay,SAC,1,0,1,3.9,4,4,1,0,1,3,1,25,25,02%2F05%2F2016
Rudy Gobert,UTA,1,1,0,38,63,49,1,0,3,3,1,1.6,1.6,02%2F05%2F2016
Ryan Hollins,MEM,1,1,0,16.5,12,12,1,0,1,2,1,8.3,8.3,02%2F05%2F2016
Salah Mejri,DAL,1,0,1,13.9,13,11,0,0,0,0,0,0,0,02%2F05%2F2016
Sasha Vujacic,NYK,1,0,1,15.6,21,21,1,0,4,4,2,4.8,9.5,02%2F05%2F2016
Shabazz Napier,ORL,1,0,1,10.3,17,22,4,0,4,8,4,23.5,23.5,02%2F05%2F2016
Shane Larkin,BKN,1,1,0,17.4,38,42,2,1,7,5,3,5.3,7.9,02%2F05%2F2016
Solomon Hill,IND,1,0,1,14.8,19,16,0,1,2,0,1,0,5.3,02%2F05%2F2016
Spencer Hawes,CHA,1,0,1,22.6,18,17,1,0,5,3,1,5.6,5.6,02%2F05%2F2016
T.J. McConnell,PHI,1,0,1,17.5,41,44,4,0,9,12,5,9.8,12.2,02%2F05%2F2016
Taj Gibson,CHI,1,0,1,36,56,37,0,0,4,0,0,0,0,02%2F05%2F2016
Thabo Sefolosha,ATL,1,1,0,23.5,27,18,0,0,1,0,0,0,0,02%2F05%2F2016
Thaddeus Young,BKN,1,1,0,38.6,79,51,7,1,12,23,9,8.9,11.4,02%2F05%2F2016
Thomas Robinson,BKN,1,1,0,6.4,9,4,0,0,0,0,0,0,0,02%2F05%2F2016
Tim Hardaway Jr.,ATL,1,1,0,12.6,10,9,1,0,4,3,1,10,10,02%2F05%2F2016
Timofey Mozgov,CLE,1,0,1,17.9,20,14,3,0,2,8,3,15,15,02%2F05%2F2016
Tobias Harris,DET,1,0,1,28,30,27,0,0,2,0,0,0,0,02%2F05%2F2016
Tony Allen,MEM,1,1,0,18.8,18,14,0,0,2,0,0,0,0,02%2F05%2F2016
Tony Parker,SAS,1,1,0,24.7,52,59,2,2,7,7,5,3.8,9.6,02%2F05%2F2016
Tony Snell,CHI,1,0,1,18.7,11,10,0,0,1,0,0,0,0,02%2F05%2F2016
Trevor Booker,UTA,1,1,0,13.3,16,11,1,1,3,3,2,6.3,12.5,02%2F05%2F2016
Trey Burke,UTA,1,1,0,3,5,6,1,0,0,2,1,20,20,02%2F05%2F2016
Trey Lyles,UTA,1,1,0,12,21,20,0,0,1,0,0,0,0,02%2F05%2F2016
Tristan Thompson,CLE,1,0,1,32,25,5,0,0,0,0,0,0,0,02%2F05%2F2016
Tyler Ennis,MIL,1,0,1,7.7,18,13,1,0,5,3,1,5.6,5.6,02%2F05%2F2016
Tyler Zeller,BOS,1,1,0,19.8,21,22,1,0,2,6,2,4.8,9.5,02%2F05%2F2016
Victor Oladipo,ORL,1,0,1,36.2,39,49,3,0,5,8,3,7.7,7.7,02%2F05%2F2016
Vince Carter,MEM,1,1,0,23.2,20,20,0,0,0,0,0,0,0,02%2F05%2F2016
Wayne Ellington,BKN,1,1,0,26.1,21,29,3,0,4,8,3,14.3,14.3,02%2F05%2F2016
Wesley Johnson,LAC,1,1,0,27.1,32,18,0,0,1,2,1,0,3.1,02%2F05%2F2016
Wesley Matthews,DAL,1,0,1,23.1,16,17,2,0,4,4,2,12.5,12.5,02%2F05%2F2016
Will Barton,DEN,1,1,0,29.7,20,22,1,0,2,2,1,5,5,02%2F05%2F2016
Willie Cauley-Stein,SAC,1,0,1,28.9,18,15,0,0,2,0,0,0,0,02%2F05%2F2016
Zach Randolph,MEM,1,1,0,29,29,27,1,0,5,4,2,3.4,6.9,02%2F05%2F2016
Zaza Pachulia,DAL,1,0,1,18.9,14,16,2,0,2,4,2,14.3,14.3,02%2F05%2F2016
Aaron Brooks,CHI,1,0,1,8.6,16,13,1,1,2,3,2,6.3,12.5,02%2F06%2F2016
Al-Farouq Aminu,POR,1,1,0,30.4,25,26,2,0,4,5,2,8,8,02%2F06%2F2016
Alex Len,PHX,1,0,1,15.3,22,15,2,0,4,5,2,9.1,9.1,02%2F06%2F2016
Alonzo Gee,NOP,1,0,1,16.8,14,6,0,0,2,0,1,0,7.1,02%2F06%2F2016
Anderson Varejao,GSW,1,1,0,27.4,42,30,3,0,6,8,3,7.1,7.1,02%2F06%2F2016
Andre Drummond,DET,1,0,1,36.9,23,23,1,0,3,3,1,4.3,4.3,02%2F06%2F2016
Andre Iguodala,GSW,1,1,0,29.5,32,32,2,0,6,5,3,6.3,9.4,02%2F06%2F2016
Andre Miller,SAS,1,1,0,16.4,27,30,2,0,7,4,2,7.4,7.4,02%2F06%2F2016
Andrea Bargnani,BKN,1,0,1,9,11,10,2,0,3,6,2,18.2,18.2,02%2F06%2F2016
Andrew Bogut,GSW,1,1,0,19.7,37,21,1,0,4,2,1,2.7,2.7,02%2F06%2F2016
Andrew Wiggins,MIN,1,1,0,33,17,36,2,0,4,4,2,11.8,11.8,02%2F06%2F2016
Anthony Davis,NOP,1,0,1,40.1,34,38,0,0,1,2,1,0,2.9,02%2F06%2F2016
Anthony Morrow,OKC,1,0,1,13.3,4,4,1,0,2,5,2,25,50,02%2F06%2F2016
Anthony Tolliver,DET,1,0,1,30.1,43,28,1,0,2,3,1,2.3,2.3,02%2F06%2F2016
Archie Goodwin,PHX,1,0,1,37.1,69,74,3,2,7,9,5,4.3,7.2,02%2F06%2F2016
Aron Baynes,DET,1,0,1,11.1,5,7,0,0,0,0,0,0,0,02%2F06%2F2016
Boban Marjanovic,SAS,1,1,0,8.8,10,4,1,1,2,2,2,10,20,02%2F06%2F2016
Bobby Portis,CHI,1,0,1,28.1,19,15,0,0,0,0,0,0,0,02%2F06%2F2016
Bojan Bogdanovic,BKN,1,0,1,23,19,26,1,0,1,2,1,5.3,5.3,02%2F06%2F2016
Boris Diaw,SAS,1,1,0,23.4,39,28,3,0,5,9,3,7.7,7.7,02%2F06%2F2016
Bradley Beal,WAS,1,0,1,20.2,24,37,3,1,5,9,4,12.5,16.7,02%2F06%2F2016
Brandon Bass,LAL,1,0,1,25.7,15,8,0,0,2,2,1,0,6.7,02%2F06%2F2016
Brandon Jennings,ORL,1,0,1,15.7,37,43,2,0,7,5,3,5.4,8.1,02%2F06%2F2016
Brandon Rush,GSW,1,1,0,0.9,1,2,0,0,0,0,0,0,0,02%2F06%2F2016
Brook Lopez,BKN,1,0,1,33.8,18,25,0,0,2,0,0,0,0,02%2F06%2F2016
Bryce Dejean-Jones,NOP,1,0,1,19.6,6,6,2,0,2,5,2,33.3,33.3,02%2F06%2F2016
CJ McCollum,POR,1,1,0,39.9,49,53,2,1,10,7,4,4.1,8.2,02%2F06%2F2016
CJ Miles,IND,1,1,0,20,18,27,2,0,6,6,3,11.1,16.7,02%2F06%2F2016
Cameron Payne,OKC,1,0,1,12.3,14,20,1,0,0,2,1,7.1,7.1,02%2F06%2F2016
Chandler Parsons,DAL,1,1,0,41.4,47,46,4,0,5,7,3,8.5,6.4,02%2F06%2F2016
Charlie Villanueva,DAL,1,1,0,0,0,0,0,0,0,0,0,0,0,02%2F06%2F2016
Chris Johnson,UTA,1,1,0,11,14,12,1,1,2,2,2,7.1,14.3,02%2F06%2F2016
Clint Capela,HOU,1,0,1,14.2,16,6,0,0,3,0,0,0,0,02%2F06%2F2016
Cody Zeller,CHA,1,1,0,29.8,25,21,1,1,4,2,2,4,8,02%2F06%2F2016
Corey Brewer,HOU,1,0,1,27.8,19,28,5,0,8,13,5,26.3,26.3,02%2F06%2F2016
Courtney Lee,CHA,1,0,1,28.5,32,33,4,0,5,9,4,12.5,12.5,02%2F06%2F2016
D'Angelo Russell,LAL,1,0,1,22.8,29,34,2,0,6,4,3,6.9,10.3,02%2F06%2F2016
Damian Lillard,POR,1,1,0,36.2,69,82,10,0,22,25,10,14.5,14.5,02%2F06%2F2016
Damjan Rudez,MIN,1,1,0,13.7,15,10,0,0,2,0,0,0,0,02%2F06%2F2016
Danny Green,SAS,1,1,0,29.1,33,30,2,0,4,6,3,6.1,9.1,02%2F06%2F2016
Dante Cunningham,NOP,1,0,1,31.2,22,15,2,1,3,4,3,9.1,13.6,02%2F06%2F2016
Darrun Hilliard,DET,1,0,1,20.8,16,23,1,1,4,3,2,6.3,12.5,02%2F06%2F2016
David West,SAS,1,1,0,29.6,33,26,5,0,10,13,6,15.2,18.2,02%2F06%2F2016
Deron Williams,DAL,1,1,0,37.8,82,100,11,2,21,31,14,13.4,17.1,02%2F06%2F2016
Derrick Favors,UTA,1,1,0,30.4,41,36,1,0,1,2,1,2.4,2.4,02%2F06%2F2016
Derrick Rose,CHI,1,0,1,33,74,89,10,1,18,25,12,13.5,16.2,02%2F06%2F2016
Devin Booker,PHX,1,0,1,33.9,25,38,1,0,3,2,1,4,4,02%2F06%2F2016
Dion Waiters,OKC,1,0,1,36.7,21,19,1,0,3,3,1,4.8,4.8,02%2F06%2F2016
Dirk Nowitzki,DAL,1,1,0,37.4,38,44,2,0,6,6,3,5.3,7.9,02%2F06%2F2016
Donald Sloan,BKN,1,0,1,21.7,43,39,4,0,8,9,4,9.3,9.3,02%2F06%2F2016
Doug McDermott,CHI,1,0,1,26.2,20,24,0,1,0,0,1,0,5,02%2F06%2F2016
Draymond Green,GSW,1,1,0,35.6,82,61,6,1,20,19,9,7.3,11,02%2F06%2F2016
Drew Gooden,WAS,1,0,1,13,14,9,2,0,4,4,2,14.3,14.3,02%2F06%2F2016
Dwight Howard,HOU,1,0,1,40.8,43,31,2,1,4,4,3,4.7,7,02%2F06%2F2016
Dwight Powell,DAL,1,1,0,14.3,20,11,0,0,0,0,0,0,0,02%2F06%2F2016
E'Twaun Moore,CHI,1,0,1,37.5,55,66,7,0,12,17,7,12.7,12.7,02%2F06%2F2016
Ed Davis,POR,1,1,0,22.1,25,11,0,0,1,0,0,0,0,02%2F06%2F2016
Enes Kanter,OKC,1,0,1,19.6,31,16,1,0,1,4,2,3.2,6.5,02%2F06%2F2016
Erick Green,DEN,1,1,0,9.4,14,13,1,0,3,3,1,7.1,7.1,02%2F06%2F2016
Ersan Ilyasova,ORL,1,0,1,17.9,24,19,0,0,0,0,0,0,0,02%2F06%2F2016
Frank Kaminsky,CHA,1,1,0,19.5,31,18,1,1,3,6,3,3.2,9.7,02%2F06%2F2016
Garrett Temple,WAS,1,0,1,24.7,22,20,1,0,2,3,1,4.5,4.5,02%2F06%2F2016
Gary Neal,WAS,1,0,1,15.4,7,14,0,0,0,0,0,0,0,02%2F06%2F2016
George Hill,IND,1,1,0,33.1,53,69,2,1,5,4,3,3.8,5.7,02%2F06%2F2016
Gerald Henderson,POR,1,1,0,27.1,25,25,1,0,2,3,1,4,4,02%2F06%2F2016
Glenn Robinson III,IND,1,1,0,8.2,5,5,1,0,0,0,0,20,0,02%2F06%2F2016
Gordon Hayward,UTA,1,1,0,38.4,44,54,3,1,7,8,5,6.8,11.4,02%2F06%2F2016
Gorgui Dieng,MIN,1,1,0,41.5,49,40,7,1,8,14,8,14.3,16.3,02%2F06%2F2016
Harrison Barnes,GSW,1,1,0,36,31,32,0,0,2,0,0,0,0,02%2F06%2F2016
Hollis Thompson,PHI,1,1,0,29.5,13,20,0,0,0,0,0,0,0,02%2F06%2F2016
Ian Mahinmi,IND,1,1,0,20.3,25,19,0,0,2,0,0,0,0,02%2F06%2F2016
Iman Shumpert,CLE,1,1,0,23.1,12,18,1,0,2,3,1,8.3,8.3,02%2F06%2F2016
Isaiah Canaan,PHI,1,1,0,24.3,27,27,3,0,4,8,3,11.1,11.1,02%2F06%2F2016
J.J. Barea,DAL,1,1,0,16.8,36,41,3,2,7,10,6,8.3,16.7,02%2F06%2F2016
JR Smith,CLE,1,1,0,33.1,43,45,3,0,2,7,3,7,7,02%2F06%2F2016
JaKarr Sampson,DEN,1,1,0,3.4,2,4,0,0,0,0,0,0,0,02%2F06%2F2016
JaVale McGee,DAL,1,1,0,7.2,10,5,1,0,1,2,1,10,10,02%2F06%2F2016
Jahlil Okafor,PHI,1,1,0,32.7,40,31,0,0,4,1,1,0,2.5,02%2F06%2F2016
James Harden,HOU,1,0,1,35.6,52,65,3,0,12,6,3,5.8,5.8,02%2F06%2F2016
Jared Cunningham,CLE,1,1,0,1.4,2,3,0,0,0,0,0,0,0,02%2F06%2F2016
Jared Dudley,WAS,1,0,1,26.5,34,29,1,0,4,2,1,2.9,2.9,02%2F06%2F2016
Jason Terry,HOU,1,0,1,3.7,4,5,1,0,1,2,1,25,25,02%2F06%2F2016
Jeff Green,LAC,1,0,1,34.8,35,40,3,0,5,8,3,8.6,8.6,02%2F06%2F2016
Jerami Grant,PHI,1,1,0,23.6,18,14,1,1,3,2,2,5.6,11.1,02%2F06%2F2016
Jeremy Lamb,CHA,1,1,0,14.3,12,16,3,0,4,8,4,25,33.3,02%2F06%2F2016
Jeremy Lin,CHA,1,1,0,23.3,26,34,1,0,3,2,1,3.8,3.8,02%2F06%2F2016
Joe Ingles,UTA,1,1,0,12.9,22,26,0,0,1,0,0,0,0,02%2F06%2F2016
Joe Johnson,MIA,1,0,1,28.8,30,38,3,0,5,7,3,10,10,02%2F06%2F2016
Joe Young,IND,1,1,0,13.2,27,28,0,0,1,0,0,0,0,02%2F06%2F2016
John Wall,WAS,1,0,1,39.6,88,93,10,0,26,29,13,11.4,14.8,02%2F06%2F2016
Jonathon Simmons,SAS,1,1,0,24.3,27,34,2,0,3,6,2,7.4,7.4,02%2F06%2F2016
Jordan Clarkson,LAL,1,0,1,36,34,43,4,1,5,10,5,11.8,14.7,02%2F06%2F2016
Jordan Hill,IND,1,1,0,27.5,45,31,3,1,4,7,4,6.7,8.9,02%2F06%2F2016
Jordan McRae,CLE,1,0,1,10.2,21,24,1,1,5,2,2,4.8,9.5,02%2F06%2F2016
Josh Smith,HOU,1,0,1,9.4,12,14,1,0,3,3,1,8.3,8.3,02%2F06%2F2016
Jrue Holiday,NOP,1,0,1,28.4,49,58,4,1,14,11,6,8.2,12.2,02%2F06%2F2016
Julius Randle,LAL,1,0,1,30.9,60,34,4,0,7,11,4,6.7,6.7,02%2F06%2F2016
Justin Anderson,DAL,1,1,0,12.6,9,10,0,0,1,0,0,0,0,02%2F06%2F2016
Karl-Anthony Towns,MIN,1,1,0,40.9,56,36,1,0,3,2,1,1.8,1.8,02%2F06%2F2016
Kawhi Leonard,SAS,1,1,0,34,39,39,3,1,10,7,4,7.7,10.3,02%2F06%2F2016
Kelly Oubre Jr.,WAS,1,0,1,4,1,2,0,0,0,0,0,0,0,02%2F06%2F2016
Kemba Walker,CHA,1,1,0,35.4,64,81,5,0,8,11,5,7.8,7.8,02%2F06%2F2016
Kendall Marshall,PHI,1,1,0,19.9,41,46,3,0,8,9,3,7.3,7.3,02%2F06%2F2016
Kevin Durant,OKC,1,0,1,40.4,42,57,5,1,9,10,6,11.9,14.3,02%2F06%2F2016
Kirk Hinrich,ATL,1,0,1,16.9,31,29,3,0,6,7,3,9.7,9.7,02%2F06%2F2016
Klay Thompson,GSW,1,1,0,34.3,20,30,0,1,1,0,1,0,5,02%2F06%2F2016
Kobe Bryant,LAL,1,0,1,32.9,28,55,4,1,4,8,5,14.3,17.9,02%2F06%2F2016
Kyle Anderson,SAS,1,1,0,9.2,12,8,1,0,3,2,1,8.3,8.3,02%2F06%2F2016
Kyle Singler,OKC,1,0,1,11.4,2,4,0,0,0,0,0,0,0,02%2F06%2F2016
Kyrie Irving,CLE,1,1,0,37.1,54,64,3,2,10,9,5,5.6,9.3,02%2F06%2F2016
LaMarcus Aldridge,SAS,1,1,0,33.8,39,34,2,0,1,4,2,5.1,5.1,02%2F06%2F2016
Lavoy Allen,IND,1,1,0,15.8,25,20,0,1,3,0,1,0,4,02%2F06%2F2016
LeBron James,CLE,1,1,0,36.7,60,76,8,0,24,19,8,13.3,13.3,02%2F06%2F2016
Leandro Barbosa,GSW,1,1,0,13.7,24,21,1,0,0,2,1,4.2,4.2,02%2F06%2F2016
Lou Williams,LAL,1,0,1,37.2,27,31,4,0,12,9,4,14.8,14.8,02%2F06%2F2016
Marc Gasol,MEM,1,0,1,36.8,34,47,2,0,5,5,2,5.9,5.9,02%2F06%2F2016
Marcin Gortat,WAS,1,0,1,35.1,44,28,2,0,3,2,1,4.5,2.3,02%2F06%2F2016
Marcus Morris Sr.,DET,1,0,1,34.5,42,36,4,0,6,15,6,9.5,14.3,02%2F06%2F2016
Marcus Thornton,WAS,1,0,1,15.3,13,16,0,0,2,2,1,0,7.7,02%2F06%2F2016
Mario Chalmers,MIA,1,0,1,18.8,35,39,4,0,10,9,4,11.4,11.4,02%2F06%2F2016
Markel Brown,BKN,1,0,1,20.1,20,20,3,1,7,6,4,15,20,02%2F06%2F2016
Markieff Morris,WAS,1,0,1,36.4,58,59,8,0,13,19,8,13.8,13.8,02%2F06%2F2016
Marreese Speights,GSW,1,1,0,17.2,24,27,2,0,3,4,2,8.3,8.3,02%2F06%2F2016
Marvin Williams,CHA,1,1,0,28.5,40,20,1,0,1,3,1,2.5,2.5,02%2F06%2F2016
Mason Plumlee,POR,1,1,0,23.9,36,35,1,0,7,2,1,2.8,2.8,02%2F06%2F2016
Matt Barnes,MEM,1,0,1,36.3,45,32,5,1,6,11,6,11.1,13.3,02%2F06%2F2016
Maurice Harkless,POR,1,1,0,30.4,30,24,1,1,3,2,2,3.3,6.7,02%2F06%2F2016
Meyers Leonard,POR,1,1,0,14.7,17,14,3,0,5,9,3,17.6,17.6,02%2F06%2F2016
Michael Kidd-Gilchrist,CHA,1,1,0,27.2,22,22,2,0,2,5,2,9.1,9.1,02%2F06%2F2016
Mike Conley,MEM,1,0,1,34.2,72,80,7,1,14,18,10,9.7,13.9,02%2F06%2F2016
Mike Dunleavy,CHI,1,0,1,14,13,15,0,0,1,0,0,0,0,02%2F06%2F2016
Mirza Teletovic,PHX,1,0,1,19.5,28,27,0,0,3,0,0,0,0,02%2F06%2F2016
Mo Williams,CLE,1,1,0,16.4,32,37,1,1,2,0,1,3.1,3.1,02%2F06%2F2016
Monta Ellis,IND,1,1,0,33.2,36,33,5,0,10,13,6,13.9,16.7,02%2F06%2F2016
Montrezl Harrell,HOU,1,0,1,15,15,12,1,0,2,5,2,6.7,13.3,02%2F06%2F2016
Myles Turner,IND,1,1,0,32,33,27,3,0,4,8,4,9.1,12.1,02%2F06%2F2016
Nerlens Noel,PHI,1,1,0,32,45,36,2,0,5,4,2,4.4,4.4,02%2F06%2F2016
Nick Young,LAL,1,0,1,15.9,6,8,1,0,1,3,1,16.7,16.7,02%2F06%2F2016
Nicolas Batum,CHA,1,1,0,43.8,62,65,9,0,16,22,9,14.5,14.5,02%2F06%2F2016
Nik Stauskas,PHI,1,1,0,20.5,10,15,1,0,1,2,1,10,10,02%2F06%2F2016
Norris Cole,NOP,1,0,1,34.4,42,65,5,0,11,10,5,11.9,11.9,02%2F06%2F2016
Omer Asik,NOP,1,0,1,29.3,40,13,2,0,2,4,2,5,5,02%2F06%2F2016
Orlando Johnson,NOP,1,0,1,19.4,14,17,0,1,3,0,1,0,7.1,02%2F06%2F2016
Otto Porter Jr.,WAS,1,0,1,39,34,28,0,0,2,0,0,0,0,02%2F06%2F2016
P.J. Tucker,PHX,1,0,1,37.7,30,29,4,0,8,10,4,13.3,13.3,02%2F06%2F2016
Patrick Beverley,HOU,1,0,1,27.9,38,47,0,1,1,0,1,0,2.6,02%2F06%2F2016
Patty Mills,SAS,1,1,0,22.2,44,56,4,1,7,9,5,9.1,11.4,02%2F06%2F2016
Pau Gasol,CHI,1,0,1,33.8,64,50,3,0,7,7,3,4.7,4.7,02%2F06%2F2016
Paul George,IND,1,1,0,30,30,38,3,0,6,6,3,10,10,02%2F06%2F2016
Ramon Sessions,WAS,1,0,1,22.6,29,37,3,1,5,8,4,10.3,13.8,02%2F06%2F2016
Raul Neto,UTA,1,1,0,37.2,54,64,4,3,7,11,8,7.4,14.8,02%2F06%2F2016
Raymond Felton,DAL,1,1,0,32.3,46,48,1,0,7,3,1,2.2,2.2,02%2F06%2F2016
Reggie Bullock,DET,1,0,1,3,1,1,0,0,0,0,0,0,0,02%2F06%2F2016
